Seniority,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Weight,Cluster
1,28,499,6590.0,0,1,187,0
2,22,249,3680.0,0,1,230,0
3,11,113,1995.0,0,1,97,0
7,4,49,661.11,0,1,55,0
1,77,599,6099.0,0,1,191,0
1,18,182,4597.74,0,1,160,0
3,38,124,1929.0,0,1,119,0
12,6,49,1321.63,0,1,73,0
2,10,75,4500.0,0,1,77,0
2,16,152,3099.0,0,1,123,0
7,6,49,1652.18,0,1,85,0
7,13,124,1797.03,0,1,120,0
20,9,49,3399.0,0,1,114,0
1,39,296,4925.0,0,1,168,0
4,27,249,3880.0,0,1,190,0
8,5,49,2467.0,0,1,90,0
3,8,125,2930.0,0,1,116,0
1,4,49,1469.0,0,1,80,0
7,5,49,1219.45,0,1,60,0
4,39,398,7109.0,0,1,180,0
32,21,198,3725.0,0,1,149,0
24,5,49,1183.99,0,1,75,0
3,62,249,3880.0,0,1,190,0
2,58,1199,12282.0,0,1,222,0
3,120,599,9999.0,0,1,160,0
1,45,471,6500.0,0,1,190,0
15,20,250,4999.0,0,1,164,0
3,6,49,1412.38,0,1,87,0
1,15,125,4949.0,0,1,153,0
5,13,124,1928.05,0,1,86,0
11,63,805,6424.82,0,1,186,0
2,20,249,2999.0,0,1,138,0
2,27,279,5089.0,0,1,169,0
2,79,647,4276.0,0,1,185,0
1,20,883,9600.0,0,1,251,0
2,76,1312,13399.0,0,1,300,0
11,4,49,661.11,0,1,55,0
5,11,123,1548.21,0,1,112,0
5,80,1085,11960.14,0,1,218,0
12,96,123,1254.31,0,1,95,0
3,28,292,5799.0,0,1,179,0
5,10,123,1802.44,0,1,87,0
13,8,49,2899.0,0,1,115,0
11,4,49,1316.22,0,1,75,0
6,115,998,21499.0,0,1,199,0
19,4,49,1316.22,0,1,75,0
22,6,49,1959.0,0,1,90,0
16,21,244,3999.0,0,1,172,0
5,8,49,2699.0,0,1,86,0
3,85,592,8299.0,0,1,214,0
1,50,798,6715.14,0,1,207,0
8,5,49,1051.45,0,1,58,0
3,11,125,2799.0,0,1,116,0
4,18,200,4099.0,0,1,149,0
14,19,234,3829.0,0,1,141,0
1,12,124,2899.0,0,1,163,0
1,62,248,3999.0,0,2,137,0
3,13,124,2399.0,0,1,130,0
27,4,49,1316.22,0,1,75,0
2,75,689,5999.0,0,1,179,0
20,13,124,2499.0,0,1,123,0
1,12,125,3499.0,0,1,135,0
3,9,49,1995.0,0,1,78,0
2,8,196,1952.69,0,1,109,0
9,5,49,1722.0,0,1,100,0
1,12,125,2899.0,0,1,130,0
1,4,49,1401.0,0,1,97,0
3,13,124,2554.0,0,1,146,0
24,118,748,8865.0,0,1,179,0
10,7,49,1537.99,0,1,66,0
3,7,49,2699.0,0,1,86,0
2,12,125,2669.0,0,1,124,0
2,20,249,3200.0,0,1,160,0
6,9,49,2359.0,0,1,96,0
1,14,124,3266.0,0,1,139,0
3,7,124,4208.0,0,1,113,0
1,44,1285,11995.0,0,1,440,0
1,110,599,10399.0,0,1,165,0
2,78,656,5999.0,0,1,201,0
6,7,49,1706.87,0,1,81,0
3,87,803,10490.0,0,1,169,0
6,15,124,4399.0,0,1,135,0
3,19,249,4149.0,0,1,180,0
3,11,198,2283.24,0,1,125,0
5,6,125,2143.0,0,1,112,0
5,29,1346,28450.0,0,2,1020,0
7,20,883,9600.0,0,1,260,0
2,48,806,7999.0,0,1,228,0
2,12,125,2699.0,0,1,153,0
3,15,124,2102.94,0,1,145,0
3,55,49,1307.0,0,1,83,0
1,96,806,7350.0,0,1,226,0
1,6,49,2559.0,0,1,96,0
2,98,998,24529.0,0,1,421,0
13,14,125,4299.0,0,1,153,0
2,181,1000,16769.0,0,1,200,0
1,15,125,3499.0,0,1,189,0
8,6,49,1501.93,0,1,90,0
20,6,74,1556.62,0,1,87,0
8,6,49,1490.0,0,1,87,0
4,150,1198,16495.0,0,1,189,0
10,6,100,1990.0,0,1,111,0
1,129,599,13799.0,0,1,166,0
3,5,49,1824.0,0,1,90,0
2,98,599,7221.0,0,1,183,0
1,22,278,4183.0,0,1,188,0
11,4,49,1401.0,0,1,97,0
3,8,125,2899.0,0,1,134,0
1,36,399,6099.0,0,1,209,0
2,47,471,4999.0,0,1,190,0
3,6,49,1471.88,0,1,70,0
2,29,602,3230.57,2,1,590,0
4,146,1298,18899.0,0,1,289,0
2,4,49,2720.0,0,1,96,0
5,15,125,3099.0,0,1,172,0
25,5,49,1785.0,0,1,92,0
4,12,125,2789.0,0,1,120,0
1,9,49,3299.0,0,1,114,0
1,23,264,4199.0,0,1,190,0
3,11,125,2099.0,0,1,141,0
6,15,146,4500.0,0,1,105,0
15,120,599,9321.1,0,1,169,0
24,5,49,1349.0,0,1,70,0
9,110,599,10399.0,0,1,165,0
5,32,125,2539.0,0,1,124,0
2,102,599,9409.0,0,1,206,0
3,60,980,10343.42,0,1,236,0
1,11,125,4349.0,0,1,162,0
1,53,883,9600.0,0,1,260,0
2,14,638,20552.0,0,2,310,0
2,9,125,2599.0,0,1,100,0
3,55,498,5258.86,0,1,186,0
3,11,125,2299.0,0,1,130,0
21,5,49,1501.93,0,1,87,0
5,5,49,961.02,0,1,74,0
2,14,124,2139.0,0,1,105,0
4,9,125,2599.0,0,1,100,0
9,4,49,1899.0,0,1,78,0
3,13,124,2722.58,0,1,110,0
2,117,599,11549.0,0,1,197,0
6,23,248,4134.96,0,1,139,0
4,74,1294,16822.0,0,1,305,0
3,15,124,2769.0,0,1,150,0
2,58,499,5955.0,0,1,172,0
2,9,125,1399.0,0,1,120,0
1,67,1202,11850.0,0,1,260,0
1,12,125,2999.0,0,1,148,0
2,12,124,3299.0,0,1,126,0
17,5,49,2467.0,0,1,90,0
12,6,49,2479.0,0,1,90,0
17,7,49,2299.0,0,1,91,0
7,8,49,2981.0,0,1,98,0
4,11,74,2175.18,0,1,85,0
1,5,49,2049.0,0,1,102,0
6,21,600,6064.21,0,1,204,0
5,6,49,1851.12,0,1,90,0
4,11,124,2499.0,0,1,152,0
2,14,124,3499.0,0,1,113,0
8,124,599,13799.0,0,1,189,0
10,7,50,2990.0,0,1,82,0
1,50,747,5349.01,0,1,186,0
3,12,125,2899.0,0,1,130,0
2,10,125,1999.0,0,1,109,0
1,52,653,11806.2,0,1,211,0
9,5,49,1051.77,0,1,77,0
3,9,123,1638.96,0,1,95,0
4,5,395,6799.0,0,1,213,0
3,15,125,3749.0,0,1,160,0
5,6,49,1730.91,0,1,90,0
1,32,385,6899.0,0,1,174,0
1,42,249,7340.0,0,1,100,0
7,22,633,270.46,2,1,600,0
2,11,198,5500.0,0,1,112,0
2,60,647,11950.0,0,1,261,0
3,7,49,2258.0,0,1,76,0
1,11,125,2499.0,0,1,152,0
1,5,49,2153.0,0,1,96,0
12,5,49,1051.45,0,1,58,0
10,7,49,1961.0,0,1,93,0
3,10,150,1462.95,0,1,105,0
6,15,498,5258.86,0,1,186,0
7,15,124,2999.0,0,1,146,0
24,34,843,1081.82,3,1,715,0
1,9,49,3825.0,0,1,92,0
3,150,998,12799.0,0,1,202,0
1,6,49,2500.0,0,1,82,0
2,12,124,3779.0,0,1,142,0
1,80,696,8490.0,0,1,161,0
2,7,49,2619.0,0,1,90,0
5,45,350,9013.0,0,1,108,0
2,4,49,1899.0,0,1,78,0
13,40,449,9799.0,0,1,130,0
9,9,124,1990.0,0,1,144,0
1,77,599,6599.0,0,1,197,0
2,6,49,1267.53,0,1,60,0
5,106,242,4549.0,0,1,88,0
21,16,152,3099.0,0,1,123,0
3,47,883,9642.0,0,1,222,0
3,39,398,7109.0,0,1,180,0
12,15,124,3299.0,0,1,157,0
3,49,659,8649.0,0,1,200,0
8,5,49,1799.0,0,1,83,0
2,12,124,9000.0,0,1,110,0
1,10,125,3555.0,0,1,110,0
1,14,125,5099.0,0,1,160,0
3,15,124,3399.0,0,1,149,0
4,15,124,2769.0,0,1,150,0
5,11,198,5500.0,0,1,112,0
18,12,125,3299.0,0,1,134,0
4,13,125,1949.0,0,1,132,0
1,125,599,12799.0,0,1,161,0
3,40,649,7999.0,0,1,204,0
3,30,1347,33252.0,0,2,620,0
10,44,373,4990.0,0,1,163,0
3,5,49,2467.0,0,1,90,0
14,15,125,3099.0,0,1,172,0
4,15,125,4499.0,0,1,127,0
2,21,250,3425.0,0,1,132,0
5,6,49,1592.08,0,1,82,0
1,34,395,7749.0,0,1,198,0
2,6,49,1535.0,0,1,78,0
2,21,249,4206.48,0,1,164,0
2,5,49,1051.77,0,1,77,0
1,11,198,1802.44,0,1,112,0
4,14,125,2999.0,0,1,137,0
4,33,298,3990.0,0,1,192,0
3,12,125,2999.0,0,1,120,0
1,12,125,2699.0,0,1,153,0
4,12,125,2999.0,0,1,155,0
1,10,124,1699.0,0,1,102,0
4,5,49,2467.0,0,1,90,0
8,4,125,3749.0,0,1,160,0
2,11,198,2283.24,0,1,125,0
2,120,599,9321.1,0,1,169,0
11,12,125,3249.0,0,1,127,0
5,5,49,1399.0,0,1,74,0
3,12,124,2299.0,0,1,139,0
4,18,200,4649.0,0,1,164,0
4,48,660,7199.0,0,1,189,0
4,53,583,7686.94,0,1,185,0
1,6,49,1730.91,0,1,90,0
10,6,695,7995.0,0,1,168,0
1,9,125,1849.0,0,1,122,0
6,102,599,9409.0,0,1,206,0
2,5,49,1435.0,0,1,97,0
5,45,49,2699.0,0,2,98,0
2,139,1215,17400.0,0,1,270,0
3,5,49,2049.0,0,1,102,0
5,14,125,4499.0,0,1,127,0
4,96,806,7350.0,0,1,226,0
1,98,599,7221.0,0,1,183,0
7,10,124,1699.0,0,1,102,0
12,50,883,7597.0,0,1,230,0
2,14,125,4799.0,0,1,155,0
1,120,1130,17850.0,0,1,280,0
3,60,647,11250.0,0,1,231,0
16,6,49,1490.0,0,1,87,0
2,120,599,13099.0,0,1,184,0
3,9,101,2037.43,0,1,88,0
6,4,49,1899.0,0,1,78,0
7,7,73,1212.84,0,1,76,0
7,15,124,2905.0,0,1,123,0
7,5,49,1490.0,0,1,87,0
4,37,498,4990.0,0,1,230,0
4,39,460,6105.0,0,1,193,0
2,50,652,7522.0,0,1,193,0
7,6,49,1490.0,0,1,87,0
8,40,690,8899.0,0,1,141,0
5,9,74,1261.82,0,1,87,0
6,40,499,8595.0,0,1,197,0
1,12,125,3249.0,0,1,127,0
6,6,65,1196.01,0,1,70,0
10,10,49,2580.0,0,1,98,0
3,56,647,8408.16,0,1,223,0
3,5,49,1618.0,0,1,75,0
8,11,697,7999.0,0,1,234,0
9,6,49,1628.0,0,1,106,0
3,7,123,1802.44,0,1,87,0
8,13,125,2849.0,0,1,142,0
1,18,707,21541.0,0,2,415,0
2,8,125,1999.0,0,1,87,0
10,9,101,2090.0,0,1,88,0
8,78,599,6699.0,0,1,191,0
3,17,249,3944.0,0,1,95,0
10,9,123,1987.87,0,1,98,0
12,4,49,2619.0,0,1,90,0
3,9,49,2679.0,0,1,108,0
2,11,1202,11950.0,0,1,255,0
3,61,680,12699.0,0,1,186,0
3,16,152,3099.0,0,1,123,0
2,115,1170,18450.0,0,1,259,0
2,67,690,8990.0,0,1,156,0
3,7,49,1778.39,0,1,90,0
1,98,998,11599.0,0,1,220,0
1,27,249,3329.0,0,1,170,0
2,5,49,1785.0,0,1,92,0
6,12,125,2143.0,0,1,97,0
3,8,82,1355.0,0,1,75,0
7,7,49,1628.0,0,1,95,0
4,4,49,849.0,0,1,79,0
2,6,49,1592.08,0,1,82,0
5,5,49,1606.0,0,1,97,0
2,4,49,999.0,0,1,59,0
5,12,123,1802.44,0,1,89,0
1,6,74,1452.65,0,1,87,0
3,24,248,4399.0,0,1,143,0
24,15,124,3499.0,0,1,158,0
2,8,161,5050.0,0,1,101,0
21,29,250,5709.0,0,1,139,0
4,4,49,1441.83,0,1,80,0
4,22,249,3999.0,0,1,165,0
9,5,49,2398.04,0,1,90,0
4,41,493,7486.0,0,1,224,0
6,5,49,1795.0,0,1,90,0
2,127,599,10999.0,0,1,161,0
4,90,49,3596.0,0,2,115,0
1,11,124,2699.0,0,1,134,0
2,12,125,3699.0,0,1,148,0
1,7,249,3190.0,0,1,140,0
4,14,125,4799.0,0,1,155,0
1,6,49,1772.38,0,1,82,0
2,34,645,6490.33,0,1,165,0
2,44,499,9799.0,0,1,225,0
2,6,49,2599.0,0,1,89,0
4,13,125,2249.0,0,1,160,0
4,5,49,1051.77,0,1,77,0
10,4,49,661.11,0,1,55,0
10,13,865,10295.0,0,1,205,0
3,11,123,1802.44,0,1,89,0
4,21,249,4719.0,0,1,138,0
2,12,198,1466.95,0,1,123,0
3,73,330,4942.0,0,1,177,0
23,6,74,1652.78,0,1,72,0
4,6,75,1497.06,0,1,78,0
7,7,49,2139.0,0,1,85,0
3,15,124,2145.55,0,1,107,0
2,76,645,6929.0,0,1,197,0
13,15,125,3885.0,0,1,118,0
17,127,599,10999.0,0,1,161,0
3,79,647,5499.0,0,1,195,0
2,57,49,1730.91,0,2,90,0
5,36,1487,7900.0,0,2,945,0
2,55,638,9700.0,0,1,270,0
21,5,49,1823.0,0,1,72,0
8,7,49,2139.0,0,1,85,0
1,48,948,9299.0,0,1,210,0
2,6,49,1501.93,0,1,90,0
2,6,74,1456.25,0,1,66,0
2,96,806,7350.0,0,1,226,0
3,95,50,2849.0,0,1,125,0
4,12,124,3271.0,0,1,110,0
10,141,998,14099.0,0,2,170,0
1,10,125,2299.0,0,1,100,0
5,15,124,3797.0,0,1,161,0
1,11,505,10217.21,3,1,400,0
4,10,150,1462.95,0,1,105,0
2,7,102,1399.0,0,1,100,0
24,5,49,1051.45,0,1,58,0
2,55,49,609.19,0,2,59,0
3,31,125,2876.5,0,1,125,0
2,78,656,6399.0,0,1,201,0
11,6,49,1501.93,0,1,90,0
4,74,400,7699.0,0,1,197,0
4,84,1340,13422.33,0,1,271,0
1,14,125,4799.0,0,1,175,0
5,16,638,10499.0,0,1,270,0
2,125,599,12799.0,0,1,161,0
2,25,399,4236.53,0,1,166,0
1,13,124,2399.0,0,1,145,0
2,12,125,2899.0,0,1,130,0
2,27,249,3329.0,0,1,170,0
11,175,998,14099.0,0,1,170,0
3,4,49,699.95,0,1,86,0
4,7,49,1573.0,0,1,75,0
6,15,244,4150.0,0,1,158,0
2,8,150,2490.0,0,1,100,0
2,110,599,9910.69,0,1,170,0
13,8,49,2730.0,0,1,117,0
6,125,249,8199.0,0,1,106,0
1,10,125,2619.0,0,1,107,0
13,13,125,4299.0,0,1,162,0
1,38,398,5999.0,0,1,228,0
4,9,125,2165.0,0,1,112,0
6,4,49,1829.0,0,1,95,0
5,72,649,7250.0,0,1,178,0
1,19,282,4729.0,0,1,179,0
11,4,49,1232.07,0,1,82,0
5,25,767,570.96,2,1,600,0
1,13,125,3079.0,0,1,130,0
3,5,49,2375.0,0,1,89,0
8,5,49,1905.0,0,1,95,0
1,43,447,3173.51,0,1,176,0
8,5,50,1499.0,0,1,103,0
9,5,49,1051.45,0,1,58,0
2,14,124,3200.0,0,1,162,0
3,6,49,1483.9,0,1,87,0
1,8,125,2090.0,0,1,142,0
2,6,49,1959.0,0,1,90,0
3,60,618,8450.0,0,1,177,0
4,13,74,1925.04,0,1,97,0
18,46,535,6244.52,0,1,182,0
3,52,942,8699.0,0,1,247,0
3,42,695,8995.0,0,1,296,0
22,4,49,865.16,0,1,60,0
3,9,125,1600.0,0,1,105,0
2,5,49,2398.04,0,1,90,0
1,17,153,3749.0,0,1,160,0
3,29,602,3841.72,2,1,570,0
1,15,123,2631.83,0,1,116,0
3,44,499,10499.0,0,1,225,0
9,9,125,2899.0,0,1,115,0
5,13,124,2905.0,0,1,123,0
1,25,767,570.96,2,1,600,0
2,15,74,1905.21,0,1,110,0
10,4,49,865.16,0,1,60,0
15,15,150,1953.29,0,1,111,0
12,4,125,2259.0,0,1,120,0
21,12,125,2669.0,0,1,124,0
3,11,125,2099.0,0,1,97,0
3,4,49,985.06,0,1,70,0
3,12,124,3779.0,0,1,142,0
2,4,50,1719.0,0,1,100,0
2,4,49,1699.0,0,1,81,0
15,5,49,2049.0,0,1,102,0
2,110,599,10799.0,0,1,169,0
2,46,745,8709.0,0,1,256,0
10,5,49,1899.0,0,1,80,0
4,22,249,3006.0,0,1,142,0
9,7,49,2139.0,0,1,85,0
3,11,124,2171.0,0,1,122,0
7,5,49,1201.42,0,1,66,0
4,129,1237,17200.0,0,1,275,0
5,32,385,6299.0,0,1,202,0
6,12,125,3799.0,0,1,148,0
2,40,499,8595.0,0,1,197,0
7,41,660,11419.23,0,1,290,0
2,82,647,4999.0,0,1,208,0
6,6,74,1556.62,0,1,87,0
7,78,848,1202.02,2,2,615,0
14,8,249,3006.0,0,1,142,0
3,117,599,11549.0,0,1,197,0
1,75,689,8599.0,0,1,196,0
1,5,49,1749.0,0,1,100,0
5,5,49,1599.0,0,1,81,0
4,4,49,1217.44,0,1,75,0
26,4,49,1649.0,0,1,95,0
4,7,49,2258.0,0,1,76,0
4,87,798,9100.0,0,1,199,0
5,20,175,1809.0,0,1,95,0
3,9,121,3500.0,0,1,87,0
3,10,124,3500.0,0,1,153,0
3,14,125,2649.0,0,1,135,0
7,6,125,3099.0,0,1,188,0
3,68,865,9895.0,0,1,205,0
7,7,150,2490.0,0,1,112,0
3,15,124,4148.0,0,1,134,0
3,16,153,2889.0,0,1,120,0
2,7,49,1622.73,0,1,81,0
2,6,49,1772.38,0,1,82,0
8,5,49,1531.0,0,1,89,0
10,4,49,1899.0,0,1,78,0
5,98,599,7221.0,0,1,183,0
2,125,636,9999.0,0,1,161,0
1,22,243,4195.0,0,1,146,0
6,6,49,1501.93,0,1,90,0
5,8,161,5050.0,0,1,101,0
3,5,49,961.02,0,1,74,0
2,15,124,3660.0,0,1,174,0
4,12,124,3699.0,0,1,172,0
3,55,638,10499.0,0,1,270,0
4,12,125,3589.0,0,1,135,0
11,5,49,1778.0,0,1,72,0
2,113,806,8450.0,0,1,226,0
1,9,108,2289.0,0,1,100,0
2,12,49,1051.77,0,1,77,0
2,4,49,1235.08,0,1,66,0
3,12,125,1929.0,0,1,123,0
2,12,125,2999.0,0,1,155,0
4,71,124,1949.0,0,1,121,0
11,113,806,9399.0,0,1,226,0
1,9,125,1639.0,0,1,105,0
4,6,49,1999.0,0,1,78,0
7,8,49,2699.0,0,1,86,0
4,6,49,1495.29,0,1,90,0
1,22,278,4349.0,0,1,183,0
13,18,707,21541.0,0,2,415,0
3,115,847,11599.0,0,1,210,0
1,110,599,9910.69,0,1,170,0
10,5,49,2518.24,0,1,90,0
2,9,125,1849.0,0,1,122,0
3,13,125,3389.0,0,1,137,0
2,14,125,2929.0,0,1,138,0
5,14,125,2649.0,0,1,135,0
1,5,49,1081.22,0,1,72,0
18,4,49,2679.0,0,1,108,0
9,8,49,2732.0,0,1,73,0
4,6,49,1636.0,0,1,92,0
4,172,998,14319.0,0,1,179,0
1,75,839,9410.0,0,1,245,0
1,124,599,13799.0,0,1,189,0
18,6,49,1730.91,0,1,90,0
4,11,198,2116.51,0,1,96,0
10,38,644,5499.0,0,1,163,0
4,6,74,1261.82,0,1,87,0
19,92,125,4199.0,0,2,161,0
33,6,49,1454.15,0,1,86,0
2,115,847,9590.0,0,1,188,0
2,6,49,1682.23,0,1,90,0
18,75,124,4199.0,0,2,154,0
7,12,125,3279.0,0,1,132,0
4,30,1248,25000.0,0,1,1030,0
2,4,50,1549.0,0,1,85,0
3,77,599,6099.0,0,1,191,0
2,6,49,1471.88,0,1,70,0
13,5,49,999.0,0,1,70,0
2,33,298,3990.0,0,1,192,0
2,69,1449,22600.0,0,1,307,0
1,46,745,8999.0,0,1,229,0
3,14,125,5099.0,0,1,160,0
4,50,645,7199.0,0,1,169,0
1,29,321,4999.0,0,1,192,0
3,12,124,3099.0,0,1,128,0
1,5,49,3040.0,0,1,95,0
4,30,1347,33252.0,0,2,620,0
5,20,239,2860.22,0,1,123,0
12,6,124,4208.0,0,1,113,0
2,6,125,1870.0,0,1,98,0
1,80,600,5999.0,0,1,204,0
2,40,649,7999.0,0,1,204,0
1,12,49,1262.13,0,1,89,0
4,12,74,3500.0,0,1,80,0
1,12,125,3799.0,0,1,148,0
4,17,249,4795.0,0,1,226,0
4,47,883,9642.0,0,1,222,0
5,5,50,1599.0,0,1,86,0
10,9,125,1639.0,0,1,105,0
4,48,660,6749.0,0,1,187,0
21,50,583,7512.65,0,1,186,0
10,34,850,4717.95,3,1,680,0
13,13,150,3480.0,0,1,164,0
3,106,748,8750.0,0,1,224,0
1,31,707,25000.0,0,2,650,0
5,21,249,4206.48,0,1,164,0
21,12,125,3160.0,0,1,149,0
2,17,234,3829.0,0,1,141,0
3,37,498,4990.0,0,1,230,0
9,12,125,3160.0,0,1,149,0
17,7,49,2619.0,0,1,90,0
1,109,821,11790.0,0,1,195,0
19,15,124,3020.0,0,1,162,0
3,8,108,2049.0,0,1,95,0
2,11,124,4364.0,0,1,127,0
1,20,249,4795.0,0,1,226,0
6,5,49,1899.0,0,1,78,0
3,5,49,1499.0,0,1,58,0
3,55,599,8020.81,3,1,680,0
1,6,49,1501.93,0,1,90,0
3,6,49,1394.05,0,1,66,0
1,95,800,13500.0,0,1,205,0
2,6,49,1682.23,0,1,95,0
1,75,689,5999.0,0,1,179,0
6,15,74,1261.82,0,1,87,0
8,11,125,2799.0,0,1,116,0
2,16,125,3499.0,0,1,135,0
2,7,49,1573.0,0,1,75,0
3,27,249,3329.0,0,1,170,0
2,10,124,1949.0,0,1,121,0
10,6,49,2599.0,0,1,89,0
7,12,125,2689.0,0,1,166,0
2,15,125,2999.0,0,1,150,0
1,11,198,2116.51,0,1,96,0
9,22,633,270.46,2,1,600,0
3,9,125,1390.0,0,1,97,0
8,5,49,2195.0,0,1,105,0
2,12,124,2125.0,0,1,97,0
3,76,1312,13399.0,0,1,300,0
9,5,49,1435.0,0,1,97,0
1,11,391,8985.0,0,1,265,0
2,69,1202,12900.0,0,1,260,0
14,135,937,8534.37,0,1,203,0
4,78,600,6999.0,0,1,180,0
4,9,49,3299.0,0,1,114,0
3,11,124,1599.0,0,1,117,0
1,12,124,2500.0,0,1,134,0
8,4,49,1599.0,0,1,99,0
1,7,102,1399.0,0,1,100,0
3,15,124,3870.0,0,1,162,0
4,9,125,1639.0,0,1,105,0
4,9,123,1802.44,0,1,89,0
1,40,649,7569.0,0,1,204,0
10,12,125,2899.0,0,1,130,0
10,6,49,1454.15,0,1,86,0
2,53,125,2289.0,0,1,160,0
1,14,125,4299.0,0,1,153,0
2,95,696,8200.0,0,1,161,0
4,55,745,8050.0,0,1,219,0
5,20,298,4440.0,0,1,193,0
11,5,49,1799.0,0,1,83,0
3,95,599,6749.0,0,1,189,0
6,6,49,1412.38,0,1,87,0
2,11,123,1802.44,0,1,87,0
2,13,125,2699.0,0,1,159,0
5,95,125,4799.0,0,1,155,0
17,7,124,3539.96,0,1,115,0
11,6,125,3500.0,0,1,76,0
2,36,1648,8150.0,0,2,1075,0
9,98,599,7221.0,0,1,183,0
1,8,125,1299.0,0,1,100,0
2,95,996,12429.0,0,1,220,0
9,4,49,1307.0,0,1,83,0
2,11,125,2209.0,0,1,121,0
4,11,125,2143.0,0,1,112,0
2,4,49,1232.07,0,1,82,0
4,9,123,1254.31,0,1,95,0
23,5,49,961.02,0,1,74,0
3,9,125,3005.0,0,1,145,0
5,7,49,1628.0,0,1,95,0
23,13,479,9321.0,3,2,400,0
4,9,125,3099.0,0,1,172,0
12,5,49,1199.0,0,1,77,0
2,9,49,2516.0,0,1,75,0
3,96,599,8235.0,0,1,176,0
3,22,278,4152.0,0,1,161,0
3,11,49,749.0,0,1,55,0
37,11,196,1952.69,0,1,109,0
12,50,583,7512.65,0,1,186,0
1,34,124,4974.0,0,1,115,0
3,120,599,9321.1,0,1,169,0
1,12,124,3499.0,0,1,110,0
7,7,49,3000.0,0,1,125,0
7,6,198,2100.96,0,1,96,0
1,7,49,1838.5,0,1,98,0
4,62,1063,9249.0,0,1,261,0
3,80,696,8200.0,0,1,161,0
1,27,499,4995.0,0,1,195,0
11,4,49,1544.0,0,1,89,0
7,72,649,6600.0,0,1,174,0
