Seniority,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Weight
1,110,1598,19400.0,5,1,1362
2,120,1870,22110.0,5,2,1430
9,104,2494,23508.0,4,2,1800
12,100,1170,13700.0,0,1,225
3,11,198,2116.51,0,1,96
5,65,1390,18325.0,5,2,1439
5,65,1461,12012.43,5,2,995
12,144,1991,18720.0,5,2,1324
3,50,1118,5535.32,3,1,780
2,20,248,5108.0,0,1,158
1,130,1896,25980.0,4,2,1375
1,184,1796,43023.56,2,1,1315
1,90,1364,12590.0,3,1,960
4,68,1968,24080.0,5,2,1335
4,68,1956,28870.0,5,2,1538
5,130,1896,22960.0,3,2,1151
5,130,2967,52350.0,3,2,2321
7,59,999,7900.0,5,1,830
4,58,1527,11149.0,5,2,910
4,58,1149,13420.0,5,2,1090
6,65,1461,11591.72,3,2,975
6,65,1149,10810.0,3,2,880
3,136,1998,22050.0,5,2,1431
1,100,1896,20770.0,3,2,1210
7,71,1405,8900.0,5,2,970
9,60,1149,11230.0,5,1,900
10,140,1968,24550.0,5,2,1469
1,125,1399,23425.0,5,1,1278
5,100,1896,16566.0,5,2,1165
3,133,1996,22568.0,5,1,1780
2,60,1299,9830.0,5,1,948
4,15,125,3099.0,0,1,188
4,245,2993,72900.0,5,2,2075
19,100,1596,17360.0,4,1,1131
16,75,1598,12525.09,5,1,1150
9,105,1597,17095.0,5,1,1197
5,102,1896,26221.8,5,2,1785
2,90,1998,17729.86,5,2,1370
1,110,1997,22890.0,5,2,1545
2,110,1587,17805.0,5,1,1141
1,12,124,3271.0,0,1,110
2,88,1386,13450.0,5,1,985
1,136,1997,26150.0,5,2,1581
2,140,1968,30930.0,4,2,1476
8,114,1560,25550.0,5,2,1380
3,100,1870,20552.84,5,2,1677
2,99,1560,17470.0,4,2,1165
1,115,1910,23981.5,4,2,1310
1,115,1753,20870.0,5,2,1272
12,100,1753,19220.0,5,2,1241
3,64,1896,14690.0,4,2,1152
2,100,1995,23239.54,5,2,1428
8,70,1398,13580.0,5,2,1130
2,51,796,8295.0,5,1,775
4,136,2164,27392.93,4,1,1395
1,136,3908,29441.66,2,2,2330
22,60,1769,11076.65,3,2,945
2,60,1389,8810.84,5,1,780
19,116,1496,28500.0,5,2,1365
11,95,1397,17950.0,5,1,1200
1,65,999,15149.68,5,1,1105
8,110,1560,23540.0,3,2,1205
8,110,1896,26850.0,3,2,1335
8,110,1197,19340.0,3,2,1236
1,90,1997,18943.0,5,2,1300
2,63,1449,19400.0,0,1,275
1,11,125,2100.0,0,1,125
2,75,1390,13390.0,6,1,1065
5,105,1461,19445.0,5,2,1205
2,90,1997,18840.0,5,2,1328
2,150,1910,25270.0,5,2,1480
14,92,1560,17740.0,5,2,1182
3,11,124,1599.0,0,1,117
7,90,1390,9630.62,5,1,940
3,110,1753,16410.0,4,2,1581
3,110,1896,11839.94,4,2,1135
4,90,1598,18000.65,5,2,1095
1,60,1149,11930.0,5,1,900
2,130,1896,27450.0,4,2,1387
5,109,1997,18670.0,5,2,1400
6,101,1896,15850.0,4,2,1175
6,65,1461,16540.0,6,2,1085
1,90,1896,18550.0,5,2,1290
2,75,1753,14570.0,5,2,1283
2,75,2496,32394.55,5,2,1460
2,90,1689,20323.22,5,2,1095
7,90,1582,17690.0,3,2,1283
3,120,1598,18931.88,4,1,1305
6,60,2902,23048.81,5,1,1955
6,60,1596,16710.0,5,1,1195
6,60,1195,8354.07,5,1,965
6,75,1360,15300.0,5,1,1039
15,75,1199,13690.0,5,1,960
15,75,1686,16370.0,5,1,1275
16,100,1595,17651.73,3,1,1171
9,122,2148,22562.0,4,2,1630
15,100,1596,14123.78,3,1,1189
15,100,1896,15736.0,3,1,1165
4,117,1598,20000.0,5,1,1297
1,100,1896,16179.95,5,2,1169
5,37,498,4990.0,0,1,230
3,140,1364,23100.0,5,1,1355
4,60,1299,9832.56,3,1,905
4,60,1753,11196.86,3,1,995
12,70,1868,12620.0,5,2,1010
1,110,2488,28467.59,2,2,1655
2,5,49,1599.0,0,1,81
1,60,1769,11076.65,3,2,945
3,68,1896,16341.52,4,2,1505
16,60,1769,11076.65,3,2,945
3,64,1896,12706.0,5,2,1125
8,81,4525,42920.0,0,2,4525
4,105,1896,20692.68,5,2,1405
1,110,1560,23460.0,5,2,1495
20,90,1997,19790.0,5,2,1243
4,110,1560,23540.0,3,2,1205
7,207,2720,45400.0,4,2,1735
15,60,1769,11088.67,3,2,970
6,72,1998,28074.48,4,2,1310
8,100,1896,13716.3,5,1,1050
3,86,1896,20436.88,2,2,1665
1,116,999,24658.97,5,1,1270
4,61,1998,21305.88,5,2,1490
4,61,1870,12020.24,5,2,960
4,61,1868,14751.0,5,2,1191
7,85,1997,20300.0,5,2,1755
2,70,1198,15517.07,5,1,974
2,12,124,2699.0,0,1,135
4,5,49,1599.0,0,1,81
6,125,2799,28070.0,2,2,2068
2,150,1798,31800.0,5,2,1585
1,75,1974,13450.65,5,2,1225
6,94,2476,15416.0,5,2,1689
7,112,1991,14700.0,5,2,1357
6,90,1753,16894.45,4,2,1386
5,80,696,9119.0,0,1,161
1,100,1598,15280.0,5,1,1165
1,100,1896,22100.0,5,1,1251
3,110,1560,23750.0,5,2,1318
9,90,1997,19379.0,5,2,1200
4,60,1124,9900.0,3,1,890
1,100,1896,14980.0,3,2,1127
2,85,1390,16000.0,5,1,1205
4,115,1905,15938.84,4,2,1151
1,60,1124,11075.0,5,1,825
2,100,1896,20314.21,5,2,1316
4,90,1396,18950.54,5,2,1365
2,95,1130,12100.0,0,1,281
3,83,1399,10150.0,5,1,995
16,70,1398,16270.0,5,2,1022
4,130,1910,19295.0,5,2,1205
1,120,1560,26100.0,5,2,1398
10,5,49,2518.24,0,1,90
1,130,1956,25800.0,5,2,1538
2,110,1560,27940.0,5,2,1350
2,120,1956,28109.99,5,2,1538
2,100,1560,24235.01,5,2,1374
2,130,1896,16411.0,3,2,1192
2,75,2283,12573.17,6,2,1505
4,136,2143,33297.45,5,2,1505
5,115,1753,19090.0,5,2,1406
4,110,1997,22410.0,5,2,1421
4,115,1995,27350.0,5,2,1724
9,75,1390,12705.0,5,1,1021
1,110,1560,25390.0,4,2,1437
19,60,1769,10602.21,4,2,970
17,92,4400,42185.0,0,2,4800
3,70,1398,15717.0,5,2,947
3,109,1560,20860.0,5,2,1344
13,148,6788,66423.86,0,2,5455
7,177,2597,43700.0,4,1,1495
1,70,1868,12200.0,3,2,1010
17,100,1596,16060.0,3,1,1242
17,100,1399,13110.0,3,1,1068
14,86,1461,14500.0,5,2,1061
1,115,2463,26680.0,5,2,1837
16,90,1560,14850.0,5,2,1053
39,75,1974,13450.65,5,2,1225
2,100,1596,12561.15,5,1,1077
2,75,1349,9772.46,5,1,1081
15,81,4525,42920.0,0,2,4525
1,4,49,1199.0,0,1,60
27,60,1389,9301.26,5,1,995
7,109,2151,23222.87,5,2,1906
34,64,1896,11160.51,5,2,1095
1,65,1294,8463.46,5,1,870
3,75,1248,16350.0,5,2,1105
12,65,1870,13011.91,5,2,1100
9,82,1389,11341.82,4,1,985
4,51,796,7600.0,5,1,776
1,140,1968,25690.0,3,2,1340
3,163,1598,15475.0,5,2,1065
20,70,1422,11500.0,5,2,1125
21,148,6788,66423.86,0,2,5455
25,81,4525,42920.0,0,2,4525
3,9,101,2360.0,0,1,105
19,80,1870,15450.0,6,2,1120
18,60,1124,11238.93,3,1,935
12,110,1997,26308.0,5,2,1385
9,106,1598,11268.98,5,1,1107
2,143,1995,27600.0,5,2,1320
9,4,49,865.16,0,1,60
8,65,1870,12650.0,5,2,1110
3,141,1998,32850.0,5,2,1929
28,119,6057,52999.0,0,2,5260
18,90,1396,18505.01,5,1,1178
19,84,1598,13754.49,3,1,1088
18,105,2476,22297.55,5,2,1975
22,4,49,865.16,0,1,60
11,234,3498,50770.0,5,1,1870
2,90,1997,18180.0,5,2,1311
19,82,1598,12035.27,5,1,1017
19,82,1686,10205.19,5,1,1035
19,82,1997,20300.0,5,1,1328
12,71,1868,15450.0,5,2,1267
4,66,998,11800.0,5,1,933
3,112,1951,29150.0,5,2,1565
11,90,1461,13230.97,5,2,1205
13,60,1391,9669.2,5,1,925
4,94,1399,11555.0,5,1,1060
1,71,1868,12873.68,4,2,1185
2,150,1995,38800.0,5,2,1807
40,60,1769,11076.65,3,2,945
40,60,1398,16270.0,3,2,1022
24,105,1910,18066.21,4,2,1330
2,57,2940,25100.0,0,2,1700
4,75,1686,15690.0,5,2,1205
3,100,1149,16130.85,5,1,1015
3,16,152,3099.0,0,1,123
8,129,1870,24030.0,3,2,1495
8,129,4525,42920.0,3,2,4525
2,90,1997,15360.67,5,2,1230
4,5,49,1471.88,0,1,87
3,136,1968,29300.0,5,2,1710
4,80,3920,39000.0,0,2,2380
17,85,1997,19540.0,5,2,1635
33,60,2006,2950.0,2,2,2000
7,102,1896,25734.6,5,2,1790
2,90,1997,18300.0,4,2,1220
18,75,1360,11910.0,5,1,950
4,125,2835,24440.37,3,2,1730
12,110,1598,18070.0,5,1,1230
20,92,1560,18450.0,5,2,1277
4,82,1686,13955.5,5,2,1115
8,110,1499,13040.0,5,2,1205
4,163,1995,34500.0,4,2,1430
7,90,1753,13913.43,5,2,1194
11,70,1248,13200.0,5,2,1060
5,80,1422,14517.0,3,2,1106
3,170,2360,37800.0,5,1,1625
2,113,2998,33903.09,5,2,1500
2,136,1997,20700.0,3,2,1303
21,71,1905,13426.61,5,2,1060
3,90,1597,11425.24,5,1,1020
4,105,1910,15355.0,5,2,1235
14,105,1595,18010.0,5,1,1179
16,60,1769,9818.43,4,2,945
28,85,1997,20140.0,5,2,1735
27,60,1769,12440.95,3,2,1155
7,103,1570,9225.54,3,1,1150
5,136,1870,17128.84,5,2,1145
4,90,1997,20000.0,4,2,1405
19,65,1198,11960.0,3,1,940
17,90,1753,12356.81,5,2,1147
17,90,1896,10756.24,5,2,1070
1,90,5390,42351.0,0,2,3135
7,105,1870,18070.0,4,2,1150
18,90,1560,19570.0,5,2,1262
18,90,1248,16230.0,5,2,1185
4,64,1896,11244.94,5,2,1035
3,115,1850,16167.23,4,1,1350
12,60,1461,14875.0,4,2,1055
16,75,1360,11910.0,5,1,950
12,75,1360,14792.0,5,1,1014
13,120,1870,26560.0,5,2,1530
2,87,1296,14300.0,5,1,935
1,80,1870,23020.0,5,2,1716
9,4,49,2034.0,0,1,101
9,8,161,5050.0,0,1,101
9,8,175,1809.0,0,1,95
3,12,125,3699.0,0,1,148
16,60,1391,11800.0,4,1,1018
5,150,1896,22265.0,5,2,1301
10,60,1753,13059.99,4,2,1100
10,70,1398,15500.0,5,2,1184
2,115,2171,28160.0,5,2,1786
9,90,898,10730.0,5,1,1023
6,136,2119,18027.96,4,1,1110
29,92,4400,42185.0,0,2,4800
8,75,1360,11910.0,5,1,950
2,82,1242,15225.0,5,1,980
26,140,1587,16400.0,4,2,983
10,83,1560,27550.01,5,1,1371
32,81,4525,42920.0,0,2,4525
14,75,1461,18770.0,5,2,1319
16,90,1997,18598.0,5,2,1200
3,63,1952,14658.69,5,2,1580
2,142,1975,20877.0,5,1,1467
15,60,1769,10602.21,4,2,970
3,90,1997,18943.0,5,2,1300
16,60,1149,10100.0,3,1,880
5,90,1997,17205.0,4,2,1200
22,110,1997,24885.0,5,2,1385
3,140,1968,27210.0,5,2,1447
13,94,3990,24785.74,2,2,2093
13,94,1753,15410.0,2,2,1399
13,94,2199,34954.2,2,2,1410
1,150,1991,33656.68,4,1,1545
26,90,1582,16490.0,5,2,1266
7,75,1199,10253.27,5,1,1070
2,80,1422,15970.0,3,2,1089
12,115,2171,24575.38,5,2,1780
5,83,1399,10150.0,5,1,995
8,90,1598,16645.0,5,2,1320
4,95,1397,16380.0,3,1,1144
11,90,1396,22390.0,5,2,1282
20,92,4400,42185.0,0,2,4800
11,141,1998,32850.0,5,2,1929
6,110,1461,24300.0,5,2,1418
4,100,1995,30500.0,3,2,1410
1,238,2967,42670.0,4,1,1637
1,238,1596,17480.0,4,1,1122
2,60,2068,13386.45,5,2,1435
20,92,1560,18780.0,5,2,1155
9,109,1560,20265.0,5,2,1371
3,75,1598,11978.17,3,1,1130
11,120,1870,25260.0,5,2,1350
8,64,1896,11782.31,5,2,1094
18,75,4525,35423.65,0,2,4500
3,55,999,7200.0,5,1,818
19,110,1968,16500.0,5,2,1457
17,100,1399,14385.0,4,2,1061
7,71,1868,12873.68,4,2,1185
6,110,1598,22910.0,5,1,1270
1,113,2998,33903.09,5,2,1500
1,116,1995,20070.0,3,2,1290
20,75,1360,13290.0,5,1,952
31,150,2148,39900.0,2,2,1500
14,130,1989,14574.54,3,1,1221
4,84,1598,14896.95,5,1,1120
4,84,1587,17640.0,5,1,1187
2,90,1905,17723.85,5,2,1312
17,60,1391,10752.11,3,1,955
12,110,1461,24100.0,5,2,1385
7,90,1364,13200.0,5,2,980
3,11,198,2995.0,0,1,112
2,110,1587,16830.0,5,1,1176
10,90,1598,14965.2,5,1,1055
20,26,1116,30000.0,0,2,950
9,68,1896,12591.2,4,2,1025
9,68,1870,25200.0,4,2,1350
9,68,1198,11400.0,4,2,910
6,90,1997,18598.0,5,2,1200
19,110,1199,12080.0,5,2,1040
19,110,999,19270.0,5,2,1339
18,6,49,1071.0,0,1,72
8,105,1896,20700.0,5,2,1250
7,100,1910,15295.76,3,2,1180
1,90,1560,20330.0,5,2,1230
15,125,2982,30194.85,5,2,1810
15,125,1461,14875.0,5,2,1055
26,37,2505,25400.0,0,2,1560
12,100,1870,15866.72,5,2,1150
20,148,6788,66423.86,0,2,5455
5,90,1560,18090.0,5,2,1357
12,180,1984,36270.0,5,1,1500
5,90,1461,20528.86,5,2,1260
3,9,125,1849.0,0,1,122
1,120,1910,22270.0,3,2,1333
2,100,1896,23640.0,4,2,1361
6,54,973,8750.74,3,1,940
5,75,1360,10373.67,5,1,860
3,75,1248,16430.0,5,2,1180
7,84,2820,15363.67,5,2,1820
19,5,49,1435.0,0,1,97
2,60,1391,11800.0,4,1,1018
12,184,2926,40267.81,4,2,1650
12,184,1118,6328.66,4,2,785
1,90,1560,19005.0,5,2,1290
2,100,1870,23160.0,5,2,1315
3,90,1997,19690.0,5,2,1390
8,115,2799,21400.0,5,2,1774
8,115,2188,30220.0,5,2,1575
19,120,1560,27429.99,5,2,1398
2,90,1560,20950.0,5,2,1290
2,90,1422,13738.0,5,2,1106
2,90,1560,19190.0,5,2,1182
10,90,1560,20060.0,3,2,1293
9,100,1998,21080.0,5,2,1866
4,90,1997,19379.0,5,2,1200
6,140,1991,25270.0,5,2,1556
6,140,1868,15431.0,5,2,1295
1,70,1398,12815.0,5,2,1022
1,76,2496,15476.06,5,2,1608
8,92,1560,17740.0,5,2,1182
16,92,4400,42185.0,0,2,4800
4,60,2940,35624.0,0,2,2095
23,7,49,1499.53,0,1,80
7,65,1343,11238.93,3,1,1015
20,163,1995,36100.0,4,2,1420
20,163,1198,10820.0,4,2,1014
11,90,1248,15665.0,5,2,1127
30,60,2006,2950.0,2,2,2000
3,193,2295,39149.93,2,1,1325
3,193,1997,17205.0,2,1,1200
8,90,1781,11794.74,3,1,955
8,115,1197,19900.0,5,1,1205
8,115,1149,11230.0,5,1,900
3,85,1248,14165.82,5,1,1029
3,109,1560,19350.0,5,2,1310
19,37,2505,25400.0,0,2,1560
2,105,1598,19170.0,3,1,1195
2,105,1761,17874.1,3,1,1350
10,26,1116,30000.0,0,2,950
15,131,1591,28514.99,5,1,1379
11,100,1995,19364.8,5,2,1245
5,92,1560,19380.0,5,2,1182
12,70,1398,15350.0,5,2,1186
12,70,1389,10301.35,5,2,960
2,95,1997,18670.0,5,2,1400
4,105,1598,22605.0,5,2,1239
3,136,1968,27000.0,5,2,1710
3,136,1461,12600.0,5,2,980
8,5,49,1051.45,0,1,58
6,129,1870,25921.0,5,2,1590
2,125,2298,35567.95,2,2,1967
24,68,1399,15410.0,5,2,1105
4,105,1896,22450.0,5,2,1320
4,105,1795,15926.82,5,2,1340
19,50,1488,7626.84,3,2,799
19,92,4400,42185.0,0,2,4800
7,110,1582,25240.0,5,2,1281
5,100,2874,19893.5,3,2,1785
5,100,1896,25360.0,3,2,1200
11,112,1796,11196.86,4,1,960
24,120,2402,19382.64,2,2,1691
11,68,998,10427.56,3,1,905
17,88,1587,16682.76,4,2,1397
2,75,1199,10590.0,3,1,935
29,71,1390,7800.0,3,2,1050
24,92,4400,42185.0,0,2,4800
8,115,1896,22470.0,5,2,1426
2,100,1870,21909.0,5,2,1728
1,5,49,2037.43,0,1,72
11,225,2967,50150.0,4,2,1765
7,100,1686,14710.0,3,2,1080
11,90,1498,12891.0,5,1,1210
8,105,1896,16815.0,5,2,1125
8,105,1968,26300.0,5,2,1505
6,90,1597,11425.24,5,1,1020
8,105,1598,17350.0,5,1,1132
25,67,2068,13618.93,4,2,1085
11,130,1896,21985.0,4,2,1314
13,110,1560,22350.0,5,2,1495
3,90,1753,16610.0,5,2,1399
3,90,2685,44223.11,5,2,1650
2,125,1798,17669.76,5,1,1337
2,75,1360,15145.0,5,1,1089
3,5,124,3200.0,0,1,162
5,90,1995,24950.0,5,2,1462
13,90,1896,14857.02,4,2,1096
13,90,1685,25090.0,4,2,1415
13,90,1461,25330.0,4,2,1385
4,70,1398,14310.0,5,2,1049
5,105,1896,19751.12,5,2,1250
2,107,2446,20734.92,5,2,1725
2,90,1997,18340.0,5,2,1243
7,105,1896,20500.0,5,2,1430
8,110,1560,21610.0,5,2,1322
2,150,1896,26700.0,5,2,1188
2,78,1248,12600.0,5,1,945
7,136,1995,38850.0,5,2,1505
5,11,124,2499.0,0,1,152
3,110,2184,17920.0,3,2,1296
11,150,1991,21070.0,4,2,1427
5,90,1896,14625.0,4,2,1159
7,135,1998,20548.6,4,1,1390
2,110,1587,21500.0,3,1,1200
19,105,1994,17597.63,5,2,1220
9,150,2231,28799.99,4,2,1515
6,116,1950,27205.0,4,2,1485
15,115,1998,17681.78,4,1,1146
2,57,2618,22500.0,0,2,1700
3,80,1242,13300.0,3,1,1165
2,163,1995,34500.0,4,2,1430
2,5,49,1499.0,0,1,58
13,82,2148,21599.2,5,2,1795
17,127,1769,11515.39,5,2,945
17,127,1910,13041.6,5,2,1290
1,120,1598,17180.0,3,1,1180
28,115,1598,25270.0,4,1,1348
2,99,1560,21080.0,5,2,1160
18,133,1998,18107.29,4,1,1170
18,133,1870,27450.0,4,1,1350
4,90,1995,15750.0,5,2,1350
5,64,1896,12392.59,5,2,1155
5,64,1398,16240.0,5,2,1163
5,64,999,17725.0,5,2,1026
5,64,1392,9051.24,5,2,885
12,115,1910,18510.0,3,2,1265
1,110,1587,25000.0,2,1,1453
1,60,1560,20100.0,4,2,1282
13,61,1124,12361.4,3,1,956
7,90,1997,17205.0,5,2,1200
7,100,1995,23239.54,5,2,1428
7,100,1124,11075.0,5,2,825
8,90,1996,28370.87,5,2,1748
3,100,1910,17627.69,4,2,1190
4,6,49,1495.29,0,1,90
1,120,1910,27050.0,5,2,1428
1,110,1896,19035.0,4,2,1286
16,99,2477,19984.0,3,2,1690
7,100,1995,23340.0,5,2,1450
11,80,2874,26985.45,5,2,1890
2,110,1560,26755.94,5,2,1414
5,100,1910,15280.0,5,2,1320
5,100,1124,10690.0,5,2,910
4,95,1997,20460.0,5,2,1595
4,92,4400,42185.0,0,2,4800
18,65,1870,13011.91,5,2,1100
1,102,1598,22458.95,4,2,1399
2,120,1597,23400.0,5,2,1310
1,9,125,1639.0,0,1,105
10,64,1896,13465.0,3,2,1090
10,64,1700,13132.11,3,2,1095
10,64,1997,15794.26,3,2,1305
10,64,1867,12500.0,3,2,1010
3,110,1461,22200.0,5,2,1306
19,90,1598,9203.96,3,1,885
11,110,1896,21360.0,4,2,1286
3,95,3431,18871.78,3,2,1900
8,116,1769,24211.0,4,1,1293
5,90,1997,19099.95,5,2,1312
19,102,2461,20109.87,5,2,1520
3,110,1997,24240.0,4,2,1410
21,124,1998,29249.45,5,2,1535
2,150,1995,31200.0,4,2,1415
2,100,1995,17030.0,4,2,1325
2,100,1997,26580.0,4,2,1486
2,116,2148,27106.88,4,2,1790
2,116,1762,18997.99,4,2,1170
9,115,1598,21250.0,5,1,1297
2,100,1896,14873.3,5,2,1165
8,110,3246,21245.78,5,2,2040
8,110,1896,19751.12,5,2,1250
15,119,6057,52999.0,0,2,5260
2,70,1867,12660.0,5,2,1084
10,81,4525,42920.0,0,2,4525
29,105,1598,27310.0,4,2,1424
10,133,1461,12600.0,4,1,980
10,133,1422,13740.0,4,1,1089
7,90,1896,16848.59,5,2,1150
7,90,1289,7602.8,5,2,985
7,90,999,23190.0,5,2,1190
4,125,1991,27800.0,5,2,1718
1,100,1753,18440.0,5,2,1234
16,69,1868,17222.0,5,2,1480
1,90,2800,23884.4,5,2,2017
5,65,1686,11600.0,3,2,1020
18,100,1461,20845.0,4,2,1215
17,75,1396,11960.14,5,1,1015
12,136,1997,31600.0,5,2,1538
22,185,3964,26283.82,5,1,1680
20,75,1974,13450.65,5,2,1225
21,90,1998,35844.36,5,2,1380
5,82,1870,21213.0,5,2,1728
5,82,1422,17030.0,5,2,1089
5,82,998,21699.99,5,2,1185
33,75,1560,18594.55,4,2,1144
12,8,49,2599.0,0,1,95
10,122,2384,26684.94,5,2,1461
5,11,198,5500.0,0,1,112
4,90,1461,16150.0,5,2,1190
9,71,1905,12230.6,3,2,1155
6,115,1731,21456.13,5,1,1365
2,60,1389,10230.43,3,1,970
4,90,1896,13540.81,5,2,1124
5,28,845,656.0,4,1,630
7,143,2498,36186.94,4,2,1585
7,117,1749,22930.0,5,1,1377
15,102,2461,26489.63,4,2,1850
4,75,1360,11760.0,5,1,1025
11,75,1360,14792.0,5,1,1014
2,112,1896,23880.0,5,2,1260
16,66,1086,10590.0,5,1,925
26,50,954,7115.98,3,1,760
5,110,1598,18310.0,5,1,1280
9,90,1896,18415.01,5,2,1309
9,90,2476,14153.84,5,2,1425
8,110,1560,20840.0,5,2,1205
2,63,1086,9550.0,5,1,886
9,150,2148,32311.8,5,2,1934
3,85,1910,14420.0,5,2,1055
2,120,1910,24640.0,5,2,1448
1,127,953,10825.0,0,1,186
3,60,1171,10280.13,5,1,845
3,90,1364,16350.0,3,2,960
6,90,1753,13913.43,5,2,1194
2,87,798,9100.0,0,1,199
4,110,1560,25390.0,4,2,1437
2,75,1422,14661.0,5,2,1151
13,100,1870,23850.0,5,2,1773
3,105,1598,20645.0,5,1,1210
1,105,1896,20430.0,5,2,1310
8,177,2231,35900.0,5,2,1595
1,60,1124,9621.74,3,1,805
1,60,1582,22900.0,3,1,1255
1,60,1590,20000.0,3,1,925
