Seniority,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Weight,Cluster
13,63,1324,8550.54,3,1,970,2
5,115,1753,21090.0,5,2,1427,2
2,224,2987,60800.0,5,2,2110,1
2,75,1422,16270.0,5,2,1135,2
15,105,1896,19300.0,5,2,1310,2
2,109,1991,22700.0,5,2,1345,1
4,78,1498,7799.1,3,1,1007,2
4,78,1299,8324.02,3,1,880,2
4,85,1390,15365.0,5,1,995,2
4,85,1368,16800.0,5,1,1245,2
2,86,2953,15817.44,5,2,1820,1
1,115,1998,22060.0,5,2,1551,1
2,100,1870,23850.0,5,2,1773,1
5,92,1905,16305.46,5,2,1405,2
5,92,899,5398.68,5,2,680,2
10,125,2172,25212.46,4,2,1480,1
3,150,1781,31250.0,4,1,1390,1
7,58,1527,10719.0,3,2,890,2
1,90,1396,11359.13,5,1,1185,2
3,90,898,10730.0,5,1,1023,2
5,109,1997,20553.2,5,2,1520,1
6,92,992,11195.0,0,1,183,0
1,14,152,3465.0,0,1,149,0
2,76,2496,16654.05,5,2,1787,1
1,110,1686,21465.0,5,2,1428,2
1,110,1598,19400.0,5,1,1362,2
2,120,1870,22110.0,5,2,1430,1
9,104,2494,23508.0,4,2,1800,1
12,100,1170,13700.0,0,1,225,0
3,11,198,2116.51,0,1,96,0
5,65,1390,18325.0,5,2,1439,2
5,65,1461,12012.43,5,2,995,2
12,144,1991,18720.0,5,2,1324,1
3,50,1118,5535.32,3,1,780,2
2,20,248,5108.0,0,1,158,0
1,130,1896,25980.0,4,2,1375,1
1,184,1796,43023.56,2,1,1315,1
1,90,1364,12590.0,3,1,960,2
4,68,1968,24080.0,5,2,1335,2
4,68,1956,28870.0,5,2,1538,1
5,130,1896,22960.0,3,2,1151,1
5,130,2967,52350.0,3,2,2321,1
7,59,999,7900.0,5,1,830,2
4,58,1527,11149.0,5,2,910,2
4,58,1149,13420.0,5,2,1090,2
6,65,1461,11591.72,3,2,975,2
6,65,1149,10810.0,3,2,880,2
3,136,1998,22050.0,5,2,1431,1
1,100,1896,20770.0,3,2,1210,2
7,71,1405,8900.0,5,2,970,2
9,60,1149,11230.0,5,1,900,2
10,140,1968,24550.0,5,2,1469,1
1,125,1399,23425.0,5,1,1278,2
5,100,1896,16566.0,5,2,1165,2
3,133,1996,22568.0,5,1,1780,1
2,60,1299,9830.0,5,1,948,2
4,15,125,3099.0,0,1,188,0
4,245,2993,72900.0,5,2,2075,1
19,100,1596,17360.0,4,1,1131,2
16,75,1598,12525.09,5,1,1150,2
9,105,1597,17095.0,5,1,1197,2
5,102,1896,26221.8,5,2,1785,1
2,90,1998,17729.86,5,2,1370,2
1,110,1997,22890.0,5,2,1545,1
2,110,1587,17805.0,5,1,1141,2
1,12,124,3271.0,0,1,110,0
2,88,1386,13450.0,5,1,985,2
1,136,1997,26150.0,5,2,1581,1
2,140,1968,30930.0,4,2,1476,1
8,114,1560,25550.0,5,2,1380,2
3,100,1870,20552.84,5,2,1677,1
2,99,1560,17470.0,4,2,1165,2
1,115,1910,23981.5,4,2,1310,1
1,115,1753,20870.0,5,2,1272,2
12,100,1753,19220.0,5,2,1241,2
3,64,1896,14690.0,4,2,1152,2
2,100,1995,23239.54,5,2,1428,1
8,70,1398,13580.0,5,2,1130,2
2,51,796,8295.0,5,1,775,2
4,136,2164,27392.93,4,1,1395,1
1,136,3908,29441.66,2,2,2330,1
22,60,1769,11076.65,3,2,945,2
2,60,1389,8810.84,5,1,780,2
19,116,1496,28500.0,5,2,1365,2
11,95,1397,17950.0,5,1,1200,2
1,65,999,15149.68,5,1,1105,2
8,110,1560,23540.0,3,2,1205,2
8,110,1896,26850.0,3,2,1335,1
8,110,1197,19340.0,3,2,1236,2
1,90,1997,18943.0,5,2,1300,2
2,63,1449,19400.0,0,1,275,0
1,11,125,2100.0,0,1,125,0
2,75,1390,13390.0,6,1,1065,2
5,105,1461,19445.0,5,2,1205,2
2,90,1997,18840.0,5,2,1328,2
2,150,1910,25270.0,5,2,1480,1
14,92,1560,17740.0,5,2,1182,2
3,11,124,1599.0,0,1,117,0
7,90,1390,9630.62,5,1,940,2
3,110,1753,16410.0,4,2,1581,2
3,110,1896,11839.94,4,2,1135,2
4,90,1598,18000.65,5,2,1095,2
1,60,1149,11930.0,5,1,900,2
2,130,1896,27450.0,4,2,1387,1
5,109,1997,18670.0,5,2,1400,2
6,101,1896,15850.0,4,2,1175,2
6,65,1461,16540.0,6,2,1085,2
1,90,1896,18550.0,5,2,1290,2
2,75,1753,14570.0,5,2,1283,2
2,75,2496,32394.55,5,2,1460,1
2,90,1689,20323.22,5,2,1095,2
7,90,1582,17690.0,3,2,1283,2
3,120,1598,18931.88,4,1,1305,2
6,60,2902,23048.81,5,1,1955,1
6,60,1596,16710.0,5,1,1195,2
6,60,1195,8354.07,5,1,965,2
6,75,1360,15300.0,5,1,1039,2
15,75,1199,13690.0,5,1,960,2
15,75,1686,16370.0,5,1,1275,2
16,100,1595,17651.73,3,1,1171,2
9,122,2148,22562.0,4,2,1630,1
15,100,1596,14123.78,3,1,1189,2
15,100,1896,15736.0,3,1,1165,2
4,117,1598,20000.0,5,1,1297,2
1,100,1896,16179.95,5,2,1169,2
5,37,498,4990.0,0,1,230,0
3,140,1364,23100.0,5,1,1355,2
4,60,1299,9832.56,3,1,905,2
4,60,1753,11196.86,3,1,995,2
12,70,1868,12620.0,5,2,1010,2
1,110,2488,28467.59,2,2,1655,1
2,5,49,1599.0,0,1,81,0
1,60,1769,11076.65,3,2,945,2
3,68,1896,16341.52,4,2,1505,2
16,60,1769,11076.65,3,2,945,2
3,64,1896,12706.0,5,2,1125,2
8,81,4525,42920.0,0,2,4525,1
4,105,1896,20692.68,5,2,1405,2
1,110,1560,23460.0,5,2,1495,2
20,90,1997,19790.0,5,2,1243,2
4,110,1560,23540.0,3,2,1205,2
7,207,2720,45400.0,4,2,1735,1
15,60,1769,11088.67,3,2,970,2
6,72,1998,28074.48,4,2,1310,2
8,100,1896,13716.3,5,1,1050,2
3,86,1896,20436.88,2,2,1665,2
1,116,999,24658.97,5,1,1270,2
4,61,1998,21305.88,5,2,1490,2
4,61,1870,12020.24,5,2,960,2
4,61,1868,14751.0,5,2,1191,2
7,85,1997,20300.0,5,2,1755,2
2,70,1198,15517.07,5,1,974,2
2,12,124,2699.0,0,1,135,0
4,5,49,1599.0,0,1,81,0
6,125,2799,28070.0,2,2,2068,1
2,150,1798,31800.0,5,2,1585,1
1,75,1974,13450.65,5,2,1225,2
6,94,2476,15416.0,5,2,1689,1
7,112,1991,14700.0,5,2,1357,2
6,90,1753,16894.45,4,2,1386,2
5,80,696,9119.0,0,1,161,0
1,100,1598,15280.0,5,1,1165,2
1,100,1896,22100.0,5,1,1251,2
3,110,1560,23750.0,5,2,1318,2
9,90,1997,19379.0,5,2,1200,2
4,60,1124,9900.0,3,1,890,2
1,100,1896,14980.0,3,2,1127,2
2,85,1390,16000.0,5,1,1205,2
4,115,1905,15938.84,4,2,1151,2
1,60,1124,11075.0,5,1,825,2
2,100,1896,20314.21,5,2,1316,2
4,90,1396,18950.54,5,2,1365,2
2,95,1130,12100.0,0,1,281,0
3,83,1399,10150.0,5,1,995,2
16,70,1398,16270.0,5,2,1022,2
4,130,1910,19295.0,5,2,1205,2
1,120,1560,26100.0,5,2,1398,1
10,5,49,2518.24,0,1,90,0
1,130,1956,25800.0,5,2,1538,1
2,110,1560,27940.0,5,2,1350,1
2,120,1956,28109.99,5,2,1538,1
2,100,1560,24235.01,5,2,1374,2
2,130,1896,16411.0,3,2,1192,2
2,75,2283,12573.17,6,2,1505,2
4,136,2143,33297.45,5,2,1505,1
5,115,1753,19090.0,5,2,1406,2
4,110,1997,22410.0,5,2,1421,1
4,115,1995,27350.0,5,2,1724,1
9,75,1390,12705.0,5,1,1021,2
1,110,1560,25390.0,4,2,1437,1
19,60,1769,10602.21,4,2,970,2
17,92,4400,42185.0,0,2,4800,1
3,70,1398,15717.0,5,2,947,2
3,109,1560,20860.0,5,2,1344,2
13,148,6788,66423.86,0,2,5455,1
7,177,2597,43700.0,4,1,1495,1
1,70,1868,12200.0,3,2,1010,2
17,100,1596,16060.0,3,1,1242,2
17,100,1399,13110.0,3,1,1068,2
14,86,1461,14500.0,5,2,1061,2
1,115,2463,26680.0,5,2,1837,1
16,90,1560,14850.0,5,2,1053,2
39,75,1974,13450.65,5,2,1225,2
2,100,1596,12561.15,5,1,1077,2
2,75,1349,9772.46,5,1,1081,2
15,81,4525,42920.0,0,2,4525,1
1,4,49,1199.0,0,1,60,0
27,60,1389,9301.26,5,1,995,2
7,109,2151,23222.87,5,2,1906,1
34,64,1896,11160.51,5,2,1095,2
1,65,1294,8463.46,5,1,870,2
3,75,1248,16350.0,5,2,1105,2
12,65,1870,13011.91,5,2,1100,2
9,82,1389,11341.82,4,1,985,2
4,51,796,7600.0,5,1,776,2
1,140,1968,25690.0,3,2,1340,1
3,163,1598,15475.0,5,2,1065,2
20,70,1422,11500.0,5,2,1125,2
21,148,6788,66423.86,0,2,5455,1
25,81,4525,42920.0,0,2,4525,1
3,9,101,2360.0,0,1,105,0
19,80,1870,15450.0,6,2,1120,2
18,60,1124,11238.93,3,1,935,2
12,110,1997,26308.0,5,2,1385,1
9,106,1598,11268.98,5,1,1107,2
2,143,1995,27600.0,5,2,1320,1
9,4,49,865.16,0,1,60,0
8,65,1870,12650.0,5,2,1110,2
3,141,1998,32850.0,5,2,1929,1
28,119,6057,52999.0,0,2,5260,1
18,90,1396,18505.01,5,1,1178,2
19,84,1598,13754.49,3,1,1088,2
18,105,2476,22297.55,5,2,1975,1
22,4,49,865.16,0,1,60,0
11,234,3498,50770.0,5,1,1870,1
2,90,1997,18180.0,5,2,1311,2
19,82,1598,12035.27,5,1,1017,2
19,82,1686,10205.19,5,1,1035,2
19,82,1997,20300.0,5,1,1328,2
12,71,1868,15450.0,5,2,1267,2
4,66,998,11800.0,5,1,933,2
3,112,1951,29150.0,5,2,1565,1
11,90,1461,13230.97,5,2,1205,2
13,60,1391,9669.2,5,1,925,2
4,94,1399,11555.0,5,1,1060,2
1,71,1868,12873.68,4,2,1185,2
2,150,1995,38800.0,5,2,1807,1
40,60,1769,11076.65,3,2,945,2
40,60,1398,16270.0,3,2,1022,2
24,105,1910,18066.21,4,2,1330,2
2,57,2940,25100.0,0,2,1700,1
4,75,1686,15690.0,5,2,1205,2
3,100,1149,16130.85,5,1,1015,2
3,16,152,3099.0,0,1,123,0
8,129,1870,24030.0,3,2,1495,1
8,129,4525,42920.0,3,2,4525,1
2,90,1997,15360.67,5,2,1230,2
4,5,49,1471.88,0,1,87,0
3,136,1968,29300.0,5,2,1710,1
4,80,3920,39000.0,0,2,2380,1
17,85,1997,19540.0,5,2,1635,2
33,60,2006,2950.0,2,2,2000,2
7,102,1896,25734.6,5,2,1790,1
2,90,1997,18300.0,4,2,1220,2
18,75,1360,11910.0,5,1,950,2
4,125,2835,24440.37,3,2,1730,1
12,110,1598,18070.0,5,1,1230,2
20,92,1560,18450.0,5,2,1277,2
4,82,1686,13955.5,5,2,1115,2
8,110,1499,13040.0,5,2,1205,2
4,163,1995,34500.0,4,2,1430,1
7,90,1753,13913.43,5,2,1194,2
11,70,1248,13200.0,5,2,1060,2
5,80,1422,14517.0,3,2,1106,2
3,170,2360,37800.0,5,1,1625,1
2,113,2998,33903.09,5,2,1500,1
2,136,1997,20700.0,3,2,1303,1
21,71,1905,13426.61,5,2,1060,2
3,90,1597,11425.24,5,1,1020,2
4,105,1910,15355.0,5,2,1235,2
14,105,1595,18010.0,5,1,1179,2
16,60,1769,9818.43,4,2,945,2
28,85,1997,20140.0,5,2,1735,2
27,60,1769,12440.95,3,2,1155,2
7,103,1570,9225.54,3,1,1150,2
5,136,1870,17128.84,5,2,1145,2
4,90,1997,20000.0,4,2,1405,2
19,65,1198,11960.0,3,1,940,2
17,90,1753,12356.81,5,2,1147,2
17,90,1896,10756.24,5,2,1070,2
1,90,5390,42351.0,0,2,3135,1
7,105,1870,18070.0,4,2,1150,2
18,90,1560,19570.0,5,2,1262,2
18,90,1248,16230.0,5,2,1185,2
4,64,1896,11244.94,5,2,1035,2
3,115,1850,16167.23,4,1,1350,2
12,60,1461,14875.0,4,2,1055,2
16,75,1360,11910.0,5,1,950,2
12,75,1360,14792.0,5,1,1014,2
13,120,1870,26560.0,5,2,1530,1
2,87,1296,14300.0,5,1,935,2
1,80,1870,23020.0,5,2,1716,2
9,4,49,2034.0,0,1,101,0
9,8,161,5050.0,0,1,101,0
9,8,175,1809.0,0,1,95,0
3,12,125,3699.0,0,1,148,0
16,60,1391,11800.0,4,1,1018,2
5,150,1896,22265.0,5,2,1301,1
10,60,1753,13059.99,4,2,1100,2
10,70,1398,15500.0,5,2,1184,2
2,115,2171,28160.0,5,2,1786,1
9,90,898,10730.0,5,1,1023,2
6,136,2119,18027.96,4,1,1110,2
29,92,4400,42185.0,0,2,4800,1
8,75,1360,11910.0,5,1,950,2
2,82,1242,15225.0,5,1,980,2
26,140,1587,16400.0,4,2,983,2
10,83,1560,27550.01,5,1,1371,2
32,81,4525,42920.0,0,2,4525,1
14,75,1461,18770.0,5,2,1319,2
16,90,1997,18598.0,5,2,1200,2
3,63,1952,14658.69,5,2,1580,2
2,142,1975,20877.0,5,1,1467,1
15,60,1769,10602.21,4,2,970,2
3,90,1997,18943.0,5,2,1300,2
16,60,1149,10100.0,3,1,880,2
5,90,1997,17205.0,4,2,1200,2
22,110,1997,24885.0,5,2,1385,2
3,140,1968,27210.0,5,2,1447,1
13,94,3990,24785.74,2,2,2093,1
13,94,1753,15410.0,2,2,1399,2
13,94,2199,34954.2,2,2,1410,1
1,150,1991,33656.68,4,1,1545,1
26,90,1582,16490.0,5,2,1266,2
7,75,1199,10253.27,5,1,1070,2
2,80,1422,15970.0,3,2,1089,2
12,115,2171,24575.38,5,2,1780,1
5,83,1399,10150.0,5,1,995,2
8,90,1598,16645.0,5,2,1320,2
4,95,1397,16380.0,3,1,1144,2
11,90,1396,22390.0,5,2,1282,2
20,92,4400,42185.0,0,2,4800,1
11,141,1998,32850.0,5,2,1929,1
6,110,1461,24300.0,5,2,1418,2
4,100,1995,30500.0,3,2,1410,1
1,238,2967,42670.0,4,1,1637,1
1,238,1596,17480.0,4,1,1122,1
2,60,2068,13386.45,5,2,1435,2
20,92,1560,18780.0,5,2,1155,2
9,109,1560,20265.0,5,2,1371,2
3,75,1598,11978.17,3,1,1130,2
11,120,1870,25260.0,5,2,1350,1
8,64,1896,11782.31,5,2,1094,2
18,75,4525,35423.65,0,2,4500,1
3,55,999,7200.0,5,1,818,2
19,110,1968,16500.0,5,2,1457,2
17,100,1399,14385.0,4,2,1061,2
7,71,1868,12873.68,4,2,1185,2
6,110,1598,22910.0,5,1,1270,2
1,113,2998,33903.09,5,2,1500,1
1,116,1995,20070.0,3,2,1290,1
20,75,1360,13290.0,5,1,952,2
31,150,2148,39900.0,2,2,1500,1
14,130,1989,14574.54,3,1,1221,2
4,84,1598,14896.95,5,1,1120,2
4,84,1587,17640.0,5,1,1187,2
2,90,1905,17723.85,5,2,1312,2
17,60,1391,10752.11,3,1,955,2
12,110,1461,24100.0,5,2,1385,2
7,90,1364,13200.0,5,2,980,2
3,11,198,2995.0,0,1,112,0
2,110,1587,16830.0,5,1,1176,2
10,90,1598,14965.2,5,1,1055,2
20,26,1116,30000.0,0,2,950,0
9,68,1896,12591.2,4,2,1025,2
9,68,1870,25200.0,4,2,1350,2
9,68,1198,11400.0,4,2,910,2
6,90,1997,18598.0,5,2,1200,2
19,110,1199,12080.0,5,2,1040,2
19,110,999,19270.0,5,2,1339,2
18,6,49,1071.0,0,1,72,0
8,105,1896,20700.0,5,2,1250,2
7,100,1910,15295.76,3,2,1180,2
1,90,1560,20330.0,5,2,1230,2
15,125,2982,30194.85,5,2,1810,1
15,125,1461,14875.0,5,2,1055,2
26,37,2505,25400.0,0,2,1560,2
12,100,1870,15866.72,5,2,1150,2
20,148,6788,66423.86,0,2,5455,1
5,90,1560,18090.0,5,2,1357,2
12,180,1984,36270.0,5,1,1500,1
5,90,1461,20528.86,5,2,1260,2
3,9,125,1849.0,0,1,122,0
1,120,1910,22270.0,3,2,1333,1
2,100,1896,23640.0,4,2,1361,2
6,54,973,8750.74,3,1,940,2
5,75,1360,10373.67,5,1,860,2
3,75,1248,16430.0,5,2,1180,2
7,84,2820,15363.67,5,2,1820,1
19,5,49,1435.0,0,1,97,0
2,60,1391,11800.0,4,1,1018,2
12,184,2926,40267.81,4,2,1650,1
12,184,1118,6328.66,4,2,785,2
1,90,1560,19005.0,5,2,1290,2
2,100,1870,23160.0,5,2,1315,2
3,90,1997,19690.0,5,2,1390,2
8,115,2799,21400.0,5,2,1774,1
8,115,2188,30220.0,5,2,1575,1
19,120,1560,27429.99,5,2,1398,2
2,90,1560,20950.0,5,2,1290,2
2,90,1422,13738.0,5,2,1106,2
2,90,1560,19190.0,5,2,1182,2
10,90,1560,20060.0,3,2,1293,2
9,100,1998,21080.0,5,2,1866,1
4,90,1997,19379.0,5,2,1200,2
6,140,1991,25270.0,5,2,1556,1
6,140,1868,15431.0,5,2,1295,2
1,70,1398,12815.0,5,2,1022,2
1,76,2496,15476.06,5,2,1608,2
8,92,1560,17740.0,5,2,1182,2
16,92,4400,42185.0,0,2,4800,1
4,60,2940,35624.0,0,2,2095,1
23,7,49,1499.53,0,1,80,0
7,65,1343,11238.93,3,1,1015,2
20,163,1995,36100.0,4,2,1420,1
20,163,1198,10820.0,4,2,1014,2
11,90,1248,15665.0,5,2,1127,2
30,60,2006,2950.0,2,2,2000,2
3,193,2295,39149.93,2,1,1325,1
3,193,1997,17205.0,2,1,1200,1
8,90,1781,11794.74,3,1,955,2
8,115,1197,19900.0,5,1,1205,2
8,115,1149,11230.0,5,1,900,2
3,85,1248,14165.82,5,1,1029,2
3,109,1560,19350.0,5,2,1310,2
19,37,2505,25400.0,0,2,1560,2
2,105,1598,19170.0,3,1,1195,2
2,105,1761,17874.1,3,1,1350,2
10,26,1116,30000.0,0,2,950,0
15,131,1591,28514.99,5,1,1379,1
11,100,1995,19364.8,5,2,1245,2
5,92,1560,19380.0,5,2,1182,2
12,70,1398,15350.0,5,2,1186,2
12,70,1389,10301.35,5,2,960,2
2,95,1997,18670.0,5,2,1400,2
4,105,1598,22605.0,5,2,1239,2
3,136,1968,27000.0,5,2,1710,1
3,136,1461,12600.0,5,2,980,2
8,5,49,1051.45,0,1,58,0
6,129,1870,25921.0,5,2,1590,1
2,125,2298,35567.95,2,2,1967,1
24,68,1399,15410.0,5,2,1105,2
4,105,1896,22450.0,5,2,1320,2
4,105,1795,15926.82,5,2,1340,2
19,50,1488,7626.84,3,2,799,2
19,92,4400,42185.0,0,2,4800,1
7,110,1582,25240.0,5,2,1281,2
5,100,2874,19893.5,3,2,1785,1
5,100,1896,25360.0,3,2,1200,2
11,112,1796,11196.86,4,1,960,2
24,120,2402,19382.64,2,2,1691,1
11,68,998,10427.56,3,1,905,2
17,88,1587,16682.76,4,2,1397,2
2,75,1199,10590.0,3,1,935,2
29,71,1390,7800.0,3,2,1050,2
24,92,4400,42185.0,0,2,4800,1
8,115,1896,22470.0,5,2,1426,1
2,100,1870,21909.0,5,2,1728,1
1,5,49,2037.43,0,1,72,0
11,225,2967,50150.0,4,2,1765,1
7,100,1686,14710.0,3,2,1080,2
11,90,1498,12891.0,5,1,1210,2
8,105,1896,16815.0,5,2,1125,2
8,105,1968,26300.0,5,2,1505,1
6,90,1597,11425.24,5,1,1020,2
8,105,1598,17350.0,5,1,1132,2
25,67,2068,13618.93,4,2,1085,2
11,130,1896,21985.0,4,2,1314,1
13,110,1560,22350.0,5,2,1495,2
3,90,1753,16610.0,5,2,1399,2
3,90,2685,44223.11,5,2,1650,1
2,125,1798,17669.76,5,1,1337,2
2,75,1360,15145.0,5,1,1089,2
3,5,124,3200.0,0,1,162,0
5,90,1995,24950.0,5,2,1462,1
13,90,1896,14857.02,4,2,1096,2
13,90,1685,25090.0,4,2,1415,2
13,90,1461,25330.0,4,2,1385,2
4,70,1398,14310.0,5,2,1049,2
5,105,1896,19751.12,5,2,1250,2
2,107,2446,20734.92,5,2,1725,1
2,90,1997,18340.0,5,2,1243,2
7,105,1896,20500.0,5,2,1430,2
8,110,1560,21610.0,5,2,1322,2
2,150,1896,26700.0,5,2,1188,1
2,78,1248,12600.0,5,1,945,2
7,136,1995,38850.0,5,2,1505,1
5,11,124,2499.0,0,1,152,0
3,110,2184,17920.0,3,2,1296,2
11,150,1991,21070.0,4,2,1427,1
5,90,1896,14625.0,4,2,1159,2
7,135,1998,20548.6,4,1,1390,1
2,110,1587,21500.0,3,1,1200,2
19,105,1994,17597.63,5,2,1220,2
9,150,2231,28799.99,4,2,1515,1
6,116,1950,27205.0,4,2,1485,1
15,115,1998,17681.78,4,1,1146,2
2,57,2618,22500.0,0,2,1700,1
3,80,1242,13300.0,3,1,1165,2
2,163,1995,34500.0,4,2,1430,1
2,5,49,1499.0,0,1,58,0
13,82,2148,21599.2,5,2,1795,1
17,127,1769,11515.39,5,2,945,2
17,127,1910,13041.6,5,2,1290,2
1,120,1598,17180.0,3,1,1180,2
28,115,1598,25270.0,4,1,1348,2
2,99,1560,21080.0,5,2,1160,2
18,133,1998,18107.29,4,1,1170,2
18,133,1870,27450.0,4,1,1350,1
4,90,1995,15750.0,5,2,1350,2
5,64,1896,12392.59,5,2,1155,2
5,64,1398,16240.0,5,2,1163,2
5,64,999,17725.0,5,2,1026,2
5,64,1392,9051.24,5,2,885,2
12,115,1910,18510.0,3,2,1265,2
1,110,1587,25000.0,2,1,1453,1
1,60,1560,20100.0,4,2,1282,2
13,61,1124,12361.4,3,1,956,2
7,90,1997,17205.0,5,2,1200,2
7,100,1995,23239.54,5,2,1428,2
7,100,1124,11075.0,5,2,825,2
8,90,1996,28370.87,5,2,1748,1
3,100,1910,17627.69,4,2,1190,2
4,6,49,1495.29,0,1,90,0
1,120,1910,27050.0,5,2,1428,1
1,110,1896,19035.0,4,2,1286,2
16,99,2477,19984.0,3,2,1690,1
7,100,1995,23340.0,5,2,1450,1
11,80,2874,26985.45,5,2,1890,1
2,110,1560,26755.94,5,2,1414,1
5,100,1910,15280.0,5,2,1320,2
5,100,1124,10690.0,5,2,910,2
4,95,1997,20460.0,5,2,1595,2
4,92,4400,42185.0,0,2,4800,1
18,65,1870,13011.91,5,2,1100,2
1,102,1598,22458.95,4,2,1399,2
2,120,1597,23400.0,5,2,1310,2
1,9,125,1639.0,0,1,105,0
10,64,1896,13465.0,3,2,1090,2
10,64,1700,13132.11,3,2,1095,2
10,64,1997,15794.26,3,2,1305,2
10,64,1867,12500.0,3,2,1010,2
3,110,1461,22200.0,5,2,1306,2
19,90,1598,9203.96,3,1,885,2
11,110,1896,21360.0,4,2,1286,2
3,95,3431,18871.78,3,2,1900,1
8,116,1769,24211.0,4,1,1293,2
5,90,1997,19099.95,5,2,1312,2
19,102,2461,20109.87,5,2,1520,1
3,110,1997,24240.0,4,2,1410,1
21,124,1998,29249.45,5,2,1535,1
